Time (s),USB Avg Power (mW)
0.0000,560.0184
0.0002,560.0184
0.0004,565.9967
0.0006,558.8217
0.0008,557.6299
0.0010,558.8217
0.0012,560.0184
0.0014,565.9967
0.0016,558.8217
0.0018,557.6299
0.0020,558.8217
0.0022,558.8217
0.0024,561.215
0.0026,591.0969
0.0028,558.8217
0.0030,560.0184
0.0032,560.0184
0.0034,569.5817
0.0036,576.7518
0.0038,558.8217
0.0040,558.8217
0.0042,560.0184
0.0044,565.9967
0.0046,558.8217
0.0048,558.8217
0.0050,560.0184
0.0052,560.0184
0.0054,564.8
0.0056,558.8217
0.0058,558.8217
0.0060,558.8217
0.0062,558.8217
0.0064,565.9967
0.0066,558.8217
0.0068,558.8217
0.0070,558.8217
0.0072,560.0184
0.0074,565.9967
0.0076,560.0184
0.0078,557.6299
0.0080,560.0184
0.0082,560.0184
0.0084,565.9967
0.0086,560.0184
0.0088,558.8217
0.0090,558.8217
0.0092,568.3851
0.0094,556.4333
0.0096,558.8217
0.0098,557.6299
0.0100,560.0184
0.0102,558.8217
0.0104,567.1884
0.0106,558.8217
0.0108,558.8217
0.0110,558.8217
0.0112,560.0184
0.0114,565.9967
0.0116,561.215
0.0118,556.4333
0.0120,560.0184
0.0122,558.8217
0.0124,565.9967
0.0126,558.8217
0.0128,558.8217
0.0130,560.0184
0.0132,558.8217
0.0134,567.1884
0.0136,558.8217
0.0138,558.8217
0.0140,558.8217
0.0142,558.8217
0.0144,564.8
0.0146,558.8217
0.0148,557.6299
0.0150,558.8217
0.0152,560.0184
0.0154,565.9967
0.0156,558.8217
0.0158,557.6299
0.0160,560.0184
0.0162,557.6299
0.0164,565.9967
0.0166,558.8217
0.0168,557.6299
0.0170,560.0184
0.0172,560.0184
0.0174,565.9967
0.0176,558.8217
0.0178,557.6299
0.0180,558.8217
0.0182,558.8217
0.0184,565.9967
0.0186,558.8217
0.0188,558.8217
0.0190,558.8217
0.0192,558.8217
0.0194,565.9967
0.0196,558.8217
0.0198,558.8217
0.0200,560.0184
0.0202,558.8217
0.0204,565.9967
0.0206,558.8217
0.0208,558.8217
0.0210,558.8217
0.0212,558.8217
0.0214,565.9967
0.0216,558.8217
0.0218,557.6299
0.0220,560.0184
0.0222,558.8217
0.0224,567.1884
0.0226,558.8217
0.0228,558.8217
0.0230,560.0184
0.0232,560.0184
0.0234,564.8
0.0236,560.0184
0.0238,558.8217
0.0240,558.8217
0.0242,558.8217
0.0244,565.9967
0.0246,558.8217
0.0248,557.6299
0.0250,558.8217
0.0252,558.8217
0.0254,565.9967
0.0256,560.0184
0.0258,558.8217
0.0260,560.0184
0.0262,558.8217
0.0264,567.1884
0.0266,558.8217
0.0268,558.8217
0.0270,560.0184
0.0272,569.5817
0.0274,556.4333
0.0276,558.8217
0.0278,557.6299
0.0280,560.0184
0.0282,560.0184
0.0284,567.1884
0.0286,558.8217
0.0288,558.8217
0.0290,558.8217
0.0292,558.8217
0.0294,565.9967
0.0296,558.8217
0.0298,557.6299
0.0300,558.8217
0.0302,558.8217
0.0304,565.9967
0.0306,558.8217
0.0308,557.6299
0.0310,560.0184
0.0312,560.0184
0.0314,565.9967
0.0316,558.8217
0.0318,558.8217
0.0320,561.215
0.0322,558.8217
0.0324,565.9967
0.0326,558.8217
0.0328,558.8217
0.0330,560.0184
0.0332,558.8217
0.0334,565.9967
0.0336,558.8217
0.0338,557.6299
0.0340,558.8217
0.0342,558.8217
0.0344,565.9967
0.0346,558.8217
0.0348,557.6299
0.0350,560.0184
0.0352,558.8217
0.0354,565.9967
0.0356,558.8217
0.0358,557.6299
0.0360,558.8217
0.0362,558.8217
0.0364,567.1884
0.0366,558.8217
0.0368,557.6299
0.0370,560.0184
0.0372,558.8217
0.0374,567.1884
0.0376,558.8217
0.0378,558.8217
0.0380,560.0184
0.0382,560.0184
0.0384,567.1884
0.0386,558.8217
0.0388,558.8217
0.0390,560.0184
0.0392,558.8217
0.0394,565.9967
0.0396,558.8217
0.0398,557.6299
0.0400,560.0184
0.0402,557.6299
0.0404,567.1884
0.0406,558.8217
0.0408,560.0184
0.0410,558.8217
0.0412,558.8217
0.0414,565.9967
0.0416,558.8217
0.0418,558.8217
0.0420,558.8217
0.0422,558.8217
0.0424,565.9967
0.0426,558.8217
0.0428,557.6299
0.0430,560.0184
0.0432,558.8217
0.0434,565.9967
0.0436,558.8217
0.0438,557.6299
0.0440,558.8217
0.0442,560.0184
0.0444,567.1884
0.0446,558.8217
0.0448,557.6299
0.0450,558.8217
0.0452,568.3851
0.0454,556.4333
0.0456,558.8217
0.0458,558.8217
0.0460,560.0184
0.0462,558.8217
0.0464,565.9967
0.0466,558.8217
0.0468,558.8217
0.0470,558.8217
0.0472,561.215
0.0474,575.56
0.0476,562.4068
0.0478,561.215
0.0480,560.0184
0.0482,560.0184
0.0484,565.9967
0.0486,558.8217
0.0488,557.6299
0.0490,560.0184
0.0492,558.8217
0.0494,567.1884
0.0496,558.8217
0.0498,557.6299
0.0500,560.0184
0.0502,558.8217
0.0504,565.9967
0.0506,558.8217
0.0508,558.8217
0.0510,560.0184
0.0512,558.8217
0.0514,565.9967
0.0516,558.8217
0.0518,557.6299
0.0520,560.0184
0.0522,558.8217
0.0524,567.1884
0.0526,558.8217
0.0528,557.6299
0.0530,558.8217
0.0532,560.0184
0.0534,565.9967
0.0536,558.8217
0.0538,557.6299
0.0540,558.8217
0.0542,557.6299
0.0544,567.1884
0.0546,565.9967
0.0548,550.455
0.0550,617.3936
0.0552,661.6205
0.0554,796.6993
0.0556,913.8433
0.0558,901.8865
0.0560,900.6948
0.0562,899.4981
0.0564,909.0615
0.0566,907.8649
0.0568,900.6948
0.0570,904.2798
0.0572,905.4716
0.0574,905.4716
0.0576,879.1748
0.0578,876.7864
0.0580,875.5898
0.0582,875.5898
0.0584,879.1748
0.0586,876.7864
0.0588,874.3931
0.0590,875.5898
0.0592,875.5898
0.0594,882.7598
0.0596,867.223
0.0598,750.0792
0.0600,440.4812
0.0602,435.7044
0.0604,470.368
0.0606,562.4068
0.0608,558.8217
0.0610,560.0184
0.0612,560.0184
0.0614,565.9967
0.0616,558.8217
0.0618,557.6299
0.0620,558.8217
0.0622,558.8217
0.0624,564.8
0.0626,558.8217
0.0628,558.8217
0.0630,558.8217
0.0632,568.3851
0.0634,556.4333
0.0636,558.8217
0.0638,558.8217
0.0640,560.0184
0.0642,558.8217
0.0644,565.9967
0.0646,560.0184
0.0648,558.8217
0.0650,560.0184
0.0652,558.8217
0.0654,565.9967
0.0656,558.8217
0.0658,558.8217
0.0660,560.0184
0.0662,558.8217
0.0664,565.9967
0.0666,558.8217
0.0668,557.6299
0.0670,560.0184
0.0672,560.0184
0.0674,565.9967
0.0676,558.8217
0.0678,558.8217
0.0680,558.8217
0.0682,560.0184
0.0684,564.8
0.0686,560.0184
0.0688,557.6299
0.0690,558.8217
0.0692,560.0184
0.0694,565.9967
0.0696,558.8217
0.0698,558.8217
0.0700,560.0184
0.0702,558.8217
0.0704,565.9967
0.0706,558.8217
0.0708,557.6299
0.0710,558.8217
0.0712,560.0184
0.0714,567.1884
0.0716,558.8217
0.0718,558.8217
0.0720,560.0184
0.0722,560.0184
0.0724,565.9967
0.0726,558.8217
0.0728,558.8217
0.0730,560.0184
0.0732,558.8217
0.0734,565.9967
0.0736,558.8217
0.0738,557.6299
0.0740,558.8217
0.0742,558.8217
0.0744,565.9967
0.0746,560.0184
0.0748,557.6299
0.0750,558.8217
0.0752,558.8217
0.0754,565.9967
0.0756,560.0184
0.0758,558.8217
0.0760,558.8217
0.0762,558.8217
0.0764,565.9967
0.0766,558.8217
0.0768,558.8217
0.0770,558.8217
