Time (s),USB Avg Power (mW)
0.0000,553.3854
0.0002,552.1924
0.0004,560.5334
0.0006,551.0043
0.0008,553.3854
0.0010,553.3854
0.0012,552.1924
0.0014,560.5334
0.0016,552.1924
0.0018,552.1924
0.0020,552.1924
0.0022,553.3854
0.0024,559.3405
0.0026,552.1924
0.0028,553.3854
0.0030,553.3854
0.0032,553.3854
0.0034,560.5334
0.0036,541.4703
0.0038,598.6548
0.0040,561.7264
0.0042,686.8174
0.0044,845.2677
0.0046,894.116
0.0048,891.73
0.0050,884.582
0.0052,882.2009
0.0054,885.775
0.0056,896.4971
0.0058,881.008
0.0060,896.4971
0.0062,904.8381
0.0064,890.542
0.0066,882.2009
0.0068,879.8199
0.0070,879.8199
0.0072,882.2009
0.0074,884.582
0.0076,881.008
0.0078,879.8199
0.0080,879.8199
0.0082,881.008
0.0084,876.2458
0.0086,830.9716
0.0088,618.9109
0.0090,436.6305
0.0092,447.3526
0.0094,551.0043
0.0096,552.1924
0.0098,553.3854
0.0100,553.3854
0.0102,553.3854
0.0104,560.5334
0.0106,552.1924
0.0108,554.5783
0.0110,552.1924
0.0112,554.5783
0.0114,545.0443
0.0116,564.1074
0.0118,552.1924
0.0120,552.1924
0.0122,552.1924
0.0124,559.3405
0.0126,551.0043
0.0128,552.1924
0.0130,552.1924
0.0132,553.3854
0.0134,558.1523
0.0136,552.1924
0.0138,552.1924
0.0140,552.1924
0.0142,553.3854
0.0144,559.3405
0.0146,551.0043
0.0148,552.1924
0.0150,553.3854
0.0152,553.3854
0.0154,559.3405
0.0156,549.8113
0.0158,553.3854
0.0160,553.3854
0.0162,553.3854
0.0164,560.5334
0.0166,551.0043
0.0168,553.3854
0.0170,553.3854
0.0172,552.1924
0.0174,559.3405
0.0176,551.0043
0.0178,553.3854
0.0180,552.1924
0.0182,553.3854
0.0184,560.5334
0.0186,551.0043
0.0188,552.1924
0.0190,552.1924
0.0192,553.3854
0.0194,559.3405
0.0196,551.0043
0.0198,551.0043
0.0200,553.3854
0.0202,552.1924
0.0204,558.1523
0.0206,551.0043
0.0208,552.1924
0.0210,552.1924
0.0212,552.1924
0.0214,559.3405
0.0216,553.3854
0.0218,553.3854
0.0220,553.3854
0.0222,553.3854
0.0224,558.1523
0.0226,551.0043
0.0228,552.1924
0.0230,553.3854
0.0232,554.5783
0.0234,560.5334
0.0236,552.1924
0.0238,553.3854
0.0240,554.5783
0.0242,553.3854
