Resolution Index,Max. Power,Average Power,Total Energy,Baseline Energy,Net Energy,Time (in ms),
1,920.1974,800.0604911,13041.0359,9274.8138,3766.222102,16300,
2,896.5657,850.8825933,12933.47586,8648.9138,4284.562059,15200,
3,875.9281,675.4341707,9158.889136,7851.3558,1307.533336,13560,
4,1222.9559,879.544208,10695.32338,6919.1538,3776.16958,12160,
1,1283.4124,885.5236742,14441.18639,9279.3658,5161.82059,16308.2,
1,1274.2894,889.0379688,14473.60488,9263.4338,5210.171079,16280.2,
2,1235.1433,885.8960236,13093.60937,8409.9338,4683.675573,14780.2,
2,1330.1423,883.9909884,13153.85192,8466.8338,4687.018123,14880.2,
3,1276.3494,874.514335,12068.36717,7852.3138,4216.053369,13800.2,
3,1194.6512,831.3241584,11522.20897,7886.4538,3635.755175,13860.2,Burst was not continuous
4,1416.4316,889.5335529,10759.86455,6882.7378,3877.126749,12096.2,
4,1251.0962,889.6552748,10729.30948,6862.2538,3867.055679,12060.2,
5,1262.9611,890.8749348,9585.881271,6122.5538,3463.327471,10760.2,
5,1321.4263,864.5800101,9302.943512,6122.5538,3180.389712,10760.2,Burst was not continuous
6,1258.271,891.2287567,8359.792743,5337.3338,3022.458943,9380.2,
6,1222.8195,889.9819784,8330.298088,5325.9538,3004.344288,9360.2,
7,1252.3301,873.8690699,6978.784126,4544.1478,2434.636326,7986.2,
7,1231.7062,854.7651574,6821.087883,4540.7338,2280.354083,7980.2,Burst was not continuous
8,1277.2264,889.2734485,5389.063437,3448.2538,1940.809637,6060.2,
8,1253.0983,868.7433207,5212.521941,3414.1138,1798.408141,6000.2,Burst was not continuous
9,1233.1353,890.9640226,3920.30836,2503.7138,1416.59456,4400.2,
9,1185.106,892.7563082,3962.655183,2525.6772,1436.977983,4438.8,
10,1332.8802,894.4610212,2898.086337,1843.6738,1054.412537,3240.2,
10,1263.2925,894.6114924,2916.500826,1855.0538,1061.447026,3260.2,
11,1208.9041,890.0456303,1972.407683,1261.0178,711.3898827,2216.2,
11,1213.1361,890.8064474,1959.841072,1251.9138,707.9272724,2200.2,
12,1081.267,889.2027928,787.899862,504.2478,283.652062,886.2,
12,1253.4087,889.1697805,790.5382356,505.9548,284.5834356,889.2,
13,1035.8175,889.6060621,427.0777785,273.2338,153.8439785,480.2,
13,1088.3047,889.9621267,430.0967092,275.0546,155.0421092,483.4,
14,1258.0294,889.9590045,187.3320909,119.8314,67.50069088,210.6,
14,1141.8284,889.0818614,193.9017729,124.1558,69.74597291,218.2,
15,906.4506,884.2097233,120.3365173,77.4978,42.8387173,136.2,
15,1004.0596,890.5275467,124.2222988,79.4324,44.7898988,139.6,
